@relation Germand
@attribute 1 {no-account,0dm,over-200dm,less-200dm}
@attribute 2 {-_15=5,15=5+}
@attribute 3 {delay,all-paid-duly,duly-till-now,critical,bank-paid-duly}
@attribute 4 {repairs,business,new-car,retraining,radio-tv,others,used-car,education,domestic-app,furniture}
@attribute 5 {3913=5+,-_3913=5}
@attribute 6 {less100dm,unknown,over1000dm,less1000dm,less500dm}
@attribute 7 {over-seven,seven-years,one-year,unemployed,four-years}
@attribute 8 {female-divorced,single-male,male-divorced,married-male}
@attribute 9 {none,guarantor,co-applicant}
@attribute 10 {car,none,building-society,real-estate}
@attribute 11 {none,stores,bank}
@attribute 12 {own,rent,free}
@attribute 13 {unemployed-non-resident,management,skilled,unskilled-resident}
@attribute 14 {yes,no}
@attribute 15 {yes,no}
@attribute class {bad,good}
@data
no-account,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,one-year,female-divorced,none,car,bank,own,skilled,yes,yes,good
no-account,-_15=5,duly-till-now,new-car,-_3913=5,unknown,four-years,single-male,none,none,none,own,skilled,yes,yes,good
less-200dm,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,four-years,female-divorced,none,car,none,own,skilled,no,yes,good
no-account,-_15=5,critical,furniture,-_3913=5,unknown,four-years,married-male,none,building-society,none,own,skilled,yes,yes,good
no-account,-_15=5,critical,repairs,-_3913=5,unknown,seven-years,female-divorced,none,real-estate,none,own,skilled,yes,yes,good
no-account,15=5+,duly-till-now,radio-tv,-_3913=5,less500dm,seven-years,married-male,none,building-society,none,own,skilled,no,yes,good
no-account,-_15=5,critical,new-car,-_3913=5,less500dm,four-years,female-divorced,none,car,none,own,unskilled-resident,yes,yes,good
0dm,-_15=5,critical,radio-tv,-_3913=5,less100dm,seven-years,female-divorced,none,car,none,own,skilled,yes,yes,good
0dm,15=5+,critical,new-car,-_3913=5,less100dm,over-seven,single-male,none,real-estate,none,own,skilled,yes,yes,good
no-account,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,four-years,single-male,none,car,none,own,skilled,yes,yes,good
no-account,-_15=5,duly-till-now,retraining,-_3913=5,unknown,seven-years,female-divorced,none,building-society,none,own,skilled,no,yes,good
no-account,-_15=5,duly-till-now,radio-tv,-_3913=5,less500dm,four-years,female-divorced,co-applicant,real-estate,none,own,skilled,yes,yes,good
no-account,15=5+,critical,furniture,3913=5+,less1000dm,four-years,single-male,none,real-estate,none,own,skilled,no,yes,good
0dm,-_15=5,duly-till-now,new-car,-_3913=5,less100dm,one-year,single-male,none,real-estate,none,own,skilled,yes,yes,good
less-200dm,15=5+,critical,furniture,-_3913=5,less100dm,over-seven,female-divorced,none,building-society,none,own,skilled,no,yes,good
no-account,15=5+,duly-till-now,business,3913=5+,less500dm,seven-years,single-male,none,car,none,own,skilled,no,yes,good
no-account,15=5+,duly-till-now,new-car,-_3913=5,less1000dm,over-seven,single-male,none,building-society,none,own,skilled,yes,yes,good
no-account,-_15=5,duly-till-now,furniture,-_3913=5,less100dm,one-year,single-male,none,building-society,bank,own,unskilled-resident,yes,yes,good
no-account,-_15=5,duly-till-now,business,-_3913=5,over1000dm,over-seven,male-divorced,none,real-estate,none,own,skilled,no,yes,good
no-account,-_15=5,duly-till-now,new-car,-_3913=5,less500dm,four-years,single-male,none,real-estate,none,rent,unskilled-resident,yes,no,good
over-200dm,15=5+,duly-till-now,furniture,-_3913=5,less100dm,one-year,female-divorced,none,building-society,stores,own,unskilled-resident,yes,yes,good
less-200dm,15=5+,critical,used-car,3913=5+,less500dm,unemployed,single-male,none,car,none,own,skilled,yes,yes,good
0dm,-_15=5,critical,new-car,-_3913=5,less100dm,four-years,single-male,none,real-estate,none,rent,skilled,yes,yes,good
less-200dm,-_15=5,critical,furniture,-_3913=5,less100dm,seven-years,single-male,none,car,none,rent,skilled,no,yes,good
0dm,-_15=5,critical,new-car,-_3913=5,less100dm,four-years,single-male,none,building-society,none,own,skilled,yes,yes,good
less-200dm,-_15=5,duly-till-now,new-car,-_3913=5,less100dm,seven-years,single-male,none,building-society,none,rent,skilled,no,yes,good
no-account,-_15=5,duly-till-now,radio-tv,-_3913=5,less500dm,over-seven,single-male,none,none,bank,free,skilled,no,yes,good
less-200dm,15=5+,delay,business,3913=5+,unknown,four-years,single-male,none,none,none,free,skilled,no,yes,good
no-account,15=5+,critical,used-car,3913=5+,less100dm,seven-years,single-male,none,car,none,own,management,no,yes,good
over-200dm,-_15=5,critical,new-car,-_3913=5,less100dm,four-years,single-male,none,real-estate,none,own,unemployed-non-resident,yes,no,good
less-200dm,-_15=5,critical,domestic-app,-_3913=5,less100dm,seven-years,single-male,none,building-society,none,own,skilled,yes,yes,good
0dm,15=5+,bank-paid-duly,used-car,-_3913=5,less100dm,four-years,female-divorced,guarantor,car,bank,rent,skilled,yes,no,good
0dm,15=5+,bank-paid-duly,furniture,-_3913=5,less1000dm,four-years,single-male,none,real-estate,stores,own,skilled,no,yes,good
less-200dm,-_15=5,duly-till-now,furniture,-_3913=5,over1000dm,one-year,female-divorced,none,real-estate,none,own,skilled,yes,yes,good
0dm,15=5+,duly-till-now,used-car,-_3913=5,less100dm,four-years,male-divorced,none,building-society,none,own,management,no,yes,good
no-account,15=5+,critical,furniture,-_3913=5,less100dm,seven-years,single-male,none,building-society,none,own,skilled,yes,yes,good
no-account,15=5+,duly-till-now,radio-tv,-_3913=5,less100dm,one-year,single-male,none,real-estate,none,own,skilled,yes,yes,good
over-200dm,-_15=5,critical,new-car,-_3913=5,less500dm,over-seven,male-divorced,none,car,none,own,skilled,no,yes,good
no-account,15=5+,critical,used-car,-_3913=5,less100dm,seven-years,single-male,none,car,none,own,skilled,no,yes,good
over-200dm,15=5+,duly-till-now,furniture,-_3913=5,less100dm,over-seven,male-divorced,none,none,none,free,skilled,yes,yes,good
no-account,-_15=5,bank-paid-duly,radio-tv,-_3913=5,less500dm,over-seven,single-male,none,car,bank,own,unskilled-resident,yes,yes,good
0dm,15=5+,duly-till-now,radio-tv,-_3913=5,less100dm,one-year,female-divorced,none,building-society,none,rent,management,no,yes,good
less-200dm,15=5+,bank-paid-duly,furniture,-_3913=5,over1000dm,four-years,single-male,none,car,stores,own,skilled,no,yes,good
no-account,15=5+,critical,radio-tv,-_3913=5,unknown,over-seven,single-male,none,real-estate,none,own,skilled,no,yes,good
no-account,15=5+,duly-till-now,used-car,3913=5+,unknown,four-years,male-divorced,none,none,none,free,skilled,no,yes,good
0dm,15=5+,duly-till-now,furniture,-_3913=5,over1000dm,four-years,single-male,none,car,none,own,skilled,yes,yes,good
no-account,15=5+,critical,radio-tv,-_3913=5,less100dm,four-years,single-male,none,car,none,own,skilled,yes,yes,good
no-account,-_15=5,critical,radio-tv,-_3913=5,less100dm,over-seven,single-male,none,real-estate,none,own,unskilled-resident,no,yes,good
no-account,-_15=5,duly-till-now,education,-_3913=5,less100dm,over-seven,single-male,none,building-society,bank,own,skilled,no,yes,good
0dm,-_15=5,duly-till-now,new-car,-_3913=5,less100dm,four-years,married-male,none,real-estate,none,own,unskilled-resident,yes,yes,good
less-200dm,-_15=5,critical,radio-tv,-_3913=5,unknown,over-seven,single-male,guarantor,real-estate,none,own,skilled,no,yes,good
no-account,15=5+,duly-till-now,radio-tv,-_3913=5,less500dm,four-years,single-male,none,car,none,rent,management,no,yes,good
no-account,15=5+,duly-till-now,furniture,3913=5+,less100dm,seven-years,female-divorced,none,building-society,none,rent,skilled,no,yes,good
no-account,15=5+,duly-till-now,used-car,3913=5+,unknown,four-years,single-male,none,car,none,own,skilled,yes,yes,good
no-account,-_15=5,duly-till-now,furniture,-_3913=5,less100dm,four-years,female-divorced,none,real-estate,none,rent,skilled,yes,yes,good
0dm,15=5+,duly-till-now,radio-tv,-_3913=5,unknown,seven-years,married-male,none,car,none,rent,unskilled-resident,yes,yes,good
less-200dm,15=5+,duly-till-now,radio-tv,-_3913=5,less500dm,one-year,single-male,none,car,none,own,skilled,yes,yes,good
over-200dm,15=5+,critical,radio-tv,-_3913=5,unknown,four-years,single-male,none,car,none,own,skilled,no,yes,good
0dm,15=5+,duly-till-now,furniture,3913=5+,less100dm,four-years,single-male,none,car,stores,own,skilled,yes,yes,good
no-account,15=5+,delay,business,3913=5+,less500dm,four-years,single-male,none,building-society,none,own,unskilled-resident,yes,yes,good
no-account,-_15=5,critical,radio-tv,-_3913=5,unknown,over-seven,single-male,none,real-estate,none,own,skilled,yes,yes,good
over-200dm,-_15=5,critical,education,-_3913=5,less100dm,four-years,female-divorced,none,building-society,none,own,unskilled-resident,yes,yes,good
less-200dm,15=5+,duly-till-now,new-car,3913=5+,less500dm,one-year,female-divorced,none,building-society,none,own,management,yes,yes,bad
no-account,15=5+,duly-till-now,new-car,-_3913=5,less100dm,four-years,female-divorced,none,real-estate,none,rent,skilled,yes,yes,bad
0dm,15=5+,duly-till-now,furniture,-_3913=5,less100dm,seven-years,female-divorced,none,real-estate,none,rent,skilled,yes,yes,bad
0dm,15=5+,critical,repairs,-_3913=5,less100dm,unemployed,female-divorced,none,none,none,free,unemployed-non-resident,yes,yes,bad
0dm,-_15=5,critical,new-car,-_3913=5,less100dm,over-seven,single-male,none,building-society,none,own,skilled,yes,yes,bad
0dm,15=5+,duly-till-now,radio-tv,3913=5+,less100dm,one-year,single-male,none,car,none,own,skilled,yes,yes,bad
less-200dm,-_15=5,duly-till-now,radio-tv,-_3913=5,less1000dm,four-years,single-male,none,real-estate,none,own,unskilled-resident,yes,yes,bad
0dm,15=5+,duly-till-now,new-car,-_3913=5,less100dm,over-seven,single-male,co-applicant,real-estate,none,own,skilled,yes,yes,bad
less-200dm,15=5+,duly-till-now,radio-tv,-_3913=5,less500dm,four-years,single-male,guarantor,building-society,none,rent,skilled,yes,yes,bad
no-account,15=5+,all-paid-duly,business,3913=5+,less100dm,four-years,single-male,none,car,stores,own,skilled,yes,yes,bad
less-200dm,15=5+,all-paid-duly,business,3913=5+,less100dm,four-years,single-male,none,real-estate,none,own,unskilled-resident,no,yes,bad
0dm,-_15=5,all-paid-duly,new-car,-_3913=5,less100dm,four-years,single-male,none,car,bank,own,skilled,yes,yes,bad
no-account,15=5+,duly-till-now,furniture,-_3913=5,less100dm,one-year,married-male,co-applicant,building-society,none,own,unskilled-resident,yes,yes,bad
0dm,15=5+,duly-till-now,furniture,-_3913=5,less100dm,unemployed,single-male,none,car,none,own,unemployed-non-resident,yes,yes,bad
0dm,-_15=5,all-paid-duly,new-car,-_3913=5,less100dm,over-seven,single-male,none,car,none,rent,skilled,yes,yes,bad
no-account,15=5+,bank-paid-duly,new-car,3913=5+,less100dm,over-seven,single-male,none,none,bank,own,management,no,yes,bad
less-200dm,15=5+,critical,others,3913=5+,less100dm,four-years,single-male,co-applicant,car,none,own,management,no,yes,bad
less-200dm,15=5+,critical,business,-_3913=5,less100dm,over-seven,male-divorced,none,real-estate,none,own,skilled,no,yes,bad
less-200dm,15=5+,duly-till-now,radio-tv,3913=5+,over1000dm,seven-years,single-male,co-applicant,none,bank,own,skilled,no,yes,bad
less-200dm,15=5+,delay,radio-tv,-_3913=5,less500dm,one-year,single-male,none,none,stores,own,management,yes,yes,bad
less-200dm,15=5+,critical,furniture,3913=5+,less100dm,four-years,female-divorced,none,car,none,own,management,no,yes,bad
0dm,15=5+,bank-paid-duly,new-car,-_3913=5,less100dm,seven-years,single-male,none,none,none,free,unskilled-resident,yes,yes,bad
0dm,15=5+,delay,education,-_3913=5,less100dm,one-year,single-male,none,building-society,none,own,skilled,yes,yes,bad
0dm,15=5+,delay,new-car,-_3913=5,less100dm,unemployed,single-male,none,real-estate,none,free,skilled,yes,yes,bad
0dm,15=5+,duly-till-now,radio-tv,-_3913=5,less100dm,unemployed,single-male,none,car,stores,own,management,yes,yes,bad
0dm,15=5+,all-paid-duly,used-car,3913=5+,less100dm,over-seven,single-male,none,none,none,free,skilled,yes,yes,bad
less-200dm,15=5+,duly-till-now,new-car,-_3913=5,unknown,four-years,female-divorced,none,building-society,none,own,skilled,yes,yes,bad
no-account,-_15=5,duly-till-now,furniture,-_3913=5,less100dm,one-year,female-divorced,co-applicant,car,none,rent,skilled,yes,yes,bad
0dm,15=5+,duly-till-now,education,-_3913=5,unknown,over-seven,single-male,none,none,none,own,management,no,yes,bad
0dm,15=5+,duly-till-now,radio-tv,-_3913=5,less100dm,four-years,single-male,none,none,none,free,skilled,no,yes,bad
less-200dm,-_15=5,duly-till-now,new-car,-_3913=5,unknown,four-years,female-divorced,none,real-estate,none,own,unskilled-resident,yes,yes,good
0dm,15=5+,duly-till-now,furniture,-_3913=5,less100dm,one-year,female-divorced,none,car,none,rent,skilled,yes,yes,good
over-200dm,-_15=5,duly-till-now,business,-_3913=5,less100dm,seven-years,single-male,none,building-society,none,rent,skilled,no,yes,good
less-200dm,15=5+,critical,business,3913=5+,less100dm,seven-years,female-divorced,none,real-estate,bank,own,unskilled-resident,yes,yes,good
less-200dm,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,four-years,single-male,none,real-estate,none,own,unskilled-resident,yes,yes,good
0dm,15=5+,bank-paid-duly,radio-tv,-_3913=5,less100dm,one-year,single-male,co-applicant,none,bank,free,management,no,yes,good
less-200dm,15=5+,duly-till-now,used-car,3913=5+,unknown,unemployed,male-divorced,none,real-estate,none,own,management,no,yes,good
no-account,-_15=5,critical,new-car,-_3913=5,less500dm,seven-years,female-divorced,none,car,none,own,skilled,no,yes,good
no-account,15=5+,duly-till-now,radio-tv,-_3913=5,less1000dm,over-seven,single-male,none,car,none,own,skilled,yes,yes,good
no-account,15=5+,critical,furniture,-_3913=5,less100dm,seven-years,single-male,none,building-society,none,own,unskilled-resident,yes,yes,good
less-200dm,15=5+,critical,new-car,-_3913=5,less100dm,unemployed,single-male,none,car,none,free,unemployed-non-resident,no,yes,good
no-account,-_15=5,critical,used-car,-_3913=5,over1000dm,over-seven,single-male,none,none,none,rent,skilled,no,yes,good
no-account,-_15=5,critical,furniture,-_3913=5,less100dm,seven-years,female-divorced,co-applicant,car,bank,own,skilled,yes,yes,good
less-200dm,-_15=5,delay,radio-tv,3913=5+,less100dm,seven-years,single-male,none,building-society,none,own,skilled,yes,yes,good
less-200dm,-_15=5,critical,business,-_3913=5,less1000dm,four-years,single-male,none,car,bank,own,skilled,yes,yes,good
0dm,-_15=5,duly-till-now,furniture,-_3913=5,less100dm,four-years,single-male,guarantor,building-society,none,own,unskilled-resident,yes,yes,good
no-account,15=5+,duly-till-now,business,-_3913=5,less100dm,seven-years,single-male,none,real-estate,none,own,skilled,no,yes,good
less-200dm,15=5+,duly-till-now,business,3913=5+,less100dm,over-seven,single-male,co-applicant,real-estate,bank,own,management,no,yes,good
less-200dm,-_15=5,duly-till-now,business,-_3913=5,less100dm,one-year,married-male,none,real-estate,none,own,skilled,no,yes,good
less-200dm,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,over-seven,single-male,none,car,none,own,unskilled-resident,yes,yes,good
no-account,15=5+,duly-till-now,radio-tv,-_3913=5,less100dm,four-years,married-male,none,building-society,none,own,skilled,yes,yes,good
no-account,-_15=5,critical,radio-tv,-_3913=5,less100dm,over-seven,single-male,none,real-estate,none,own,skilled,yes,yes,good
no-account,-_15=5,duly-till-now,furniture,-_3913=5,less100dm,four-years,single-male,none,real-estate,none,rent,unskilled-resident,yes,yes,good
no-account,15=5+,bank-paid-duly,business,-_3913=5,less100dm,four-years,female-divorced,none,real-estate,stores,own,skilled,yes,yes,good
less-200dm,15=5+,delay,radio-tv,3913=5+,unknown,four-years,single-male,none,real-estate,none,own,unskilled-resident,yes,yes,good
less-200dm,15=5+,duly-till-now,radio-tv,-_3913=5,less1000dm,unemployed,female-divorced,none,none,none,rent,unemployed-non-resident,yes,yes,good
0dm,-_15=5,critical,new-car,-_3913=5,less100dm,four-years,single-male,none,real-estate,none,rent,skilled,yes,yes,good
0dm,15=5+,duly-till-now,used-car,3913=5+,less100dm,over-seven,single-male,none,none,none,free,skilled,yes,yes,good
less-200dm,-_15=5,duly-till-now,radio-tv,-_3913=5,less1000dm,four-years,female-divorced,none,real-estate,none,own,unskilled-resident,yes,yes,good
over-200dm,-_15=5,duly-till-now,new-car,3913=5+,less100dm,one-year,single-male,guarantor,building-society,none,own,unskilled-resident,yes,yes,good
0dm,15=5+,duly-till-now,others,3913=5+,less100dm,unemployed,male-divorced,co-applicant,car,none,own,management,yes,yes,good
0dm,-_15=5,critical,radio-tv,-_3913=5,less100dm,seven-years,female-divorced,none,real-estate,none,own,unskilled-resident,no,yes,good
less-200dm,15=5+,delay,radio-tv,3913=5+,less100dm,one-year,single-male,none,car,none,own,skilled,yes,yes,good
less-200dm,15=5+,delay,repairs,3913=5+,less100dm,four-years,single-male,none,real-estate,none,own,unskilled-resident,no,yes,good
no-account,-_15=5,duly-till-now,new-car,-_3913=5,less100dm,four-years,female-divorced,none,car,none,own,skilled,no,yes,good
0dm,15=5+,duly-till-now,furniture,-_3913=5,less100dm,one-year,single-male,none,none,bank,free,skilled,yes,yes,good
no-account,15=5+,critical,used-car,-_3913=5,unknown,unemployed,single-male,none,none,none,own,management,no,yes,good
less-200dm,-_15=5,duly-till-now,new-car,3913=5+,less100dm,seven-years,single-male,none,car,none,own,skilled,yes,yes,good
no-account,15=5+,critical,furniture,3913=5+,over1000dm,one-year,single-male,none,real-estate,stores,own,unskilled-resident,no,yes,good
less-200dm,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,seven-years,single-male,guarantor,real-estate,none,own,skilled,yes,no,good
less-200dm,15=5+,duly-till-now,used-car,3913=5+,less100dm,one-year,single-male,none,car,none,own,skilled,yes,yes,good
over-200dm,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,four-years,female-divorced,none,car,none,rent,unskilled-resident,no,yes,good
no-account,15=5+,critical,radio-tv,-_3913=5,unknown,over-seven,single-male,none,car,none,own,skilled,no,yes,good
no-account,-_15=5,duly-till-now,business,-_3913=5,less100dm,four-years,married-male,none,real-estate,none,own,skilled,no,no,good
no-account,15=5+,duly-till-now,radio-tv,-_3913=5,less100dm,one-year,female-divorced,none,real-estate,none,own,skilled,yes,yes,good
less-200dm,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,seven-years,married-male,guarantor,real-estate,bank,own,unskilled-resident,yes,yes,good
no-account,-_15=5,bank-paid-duly,retraining,-_3913=5,less1000dm,four-years,female-divorced,none,real-estate,none,own,unskilled-resident,yes,yes,good
no-account,15=5+,duly-till-now,furniture,-_3913=5,less100dm,over-seven,single-male,none,building-society,bank,own,skilled,no,yes,good
no-account,-_15=5,duly-till-now,new-car,-_3913=5,unknown,unemployed,single-male,none,none,none,own,management,no,yes,good
no-account,15=5+,duly-till-now,used-car,3913=5+,less100dm,seven-years,single-male,none,car,none,own,management,no,yes,good
less-200dm,-_15=5,duly-till-now,repairs,-_3913=5,less100dm,one-year,married-male,none,building-society,none,own,unskilled-resident,yes,yes,good
no-account,15=5+,duly-till-now,radio-tv,-_3913=5,less1000dm,over-seven,single-male,none,car,none,own,skilled,no,yes,good
no-account,-_15=5,all-paid-duly,radio-tv,-_3913=5,less100dm,over-seven,married-male,none,car,none,own,unskilled-resident,yes,yes,good
over-200dm,-_15=5,duly-till-now,furniture,-_3913=5,less100dm,one-year,female-divorced,none,building-society,bank,own,management,no,yes,good
no-account,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,four-years,single-male,none,real-estate,none,own,skilled,yes,yes,good
less-200dm,-_15=5,critical,radio-tv,-_3913=5,less100dm,four-years,female-divorced,none,real-estate,none,own,unskilled-resident,yes,yes,good
no-account,15=5+,duly-till-now,new-car,-_3913=5,less100dm,four-years,married-male,none,building-society,none,own,management,no,yes,good
over-200dm,-_15=5,critical,radio-tv,-_3913=5,unknown,seven-years,single-male,none,building-society,none,own,skilled,no,yes,good
0dm,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,one-year,married-male,none,real-estate,none,own,skilled,yes,no,good
no-account,-_15=5,duly-till-now,new-car,-_3913=5,over1000dm,seven-years,female-divorced,none,car,none,rent,skilled,yes,yes,good
no-account,-_15=5,duly-till-now,radio-tv,-_3913=5,less500dm,unemployed,female-divorced,none,real-estate,none,own,skilled,yes,yes,good
0dm,-_15=5,duly-till-now,new-car,-_3913=5,less500dm,over-seven,single-male,none,building-society,none,own,skilled,no,yes,good
less-200dm,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,four-years,single-male,guarantor,real-estate,none,own,skilled,yes,no,good
no-account,15=5+,duly-till-now,repairs,3913=5+,unknown,over-seven,single-male,none,building-society,none,own,skilled,no,yes,good
no-account,15=5+,duly-till-now,furniture,-_3913=5,less100dm,four-years,single-male,none,none,bank,free,skilled,yes,yes,good
less-200dm,-_15=5,critical,used-car,-_3913=5,less500dm,one-year,single-male,none,building-society,none,own,skilled,yes,yes,good
less-200dm,15=5+,all-paid-duly,used-car,3913=5+,less500dm,over-seven,married-male,none,car,bank,own,skilled,no,yes,good
no-account,-_15=5,duly-till-now,used-car,3913=5+,unknown,one-year,female-divorced,none,car,none,rent,skilled,yes,yes,good
no-account,-_15=5,critical,furniture,-_3913=5,less100dm,over-seven,single-male,none,real-estate,none,own,skilled,no,yes,good
no-account,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,seven-years,single-male,none,building-society,none,own,skilled,yes,yes,good
less-200dm,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,one-year,single-male,none,car,stores,own,skilled,yes,yes,bad
0dm,-_15=5,duly-till-now,domestic-app,-_3913=5,less500dm,unemployed,female-divorced,none,building-society,none,own,skilled,yes,yes,bad
0dm,15=5+,duly-till-now,new-car,-_3913=5,unknown,seven-years,female-divorced,none,none,none,rent,skilled,yes,yes,bad
no-account,15=5+,duly-till-now,repairs,-_3913=5,less100dm,one-year,female-divorced,none,real-estate,none,own,skilled,yes,yes,bad
0dm,15=5+,all-paid-duly,furniture,-_3913=5,less100dm,one-year,female-divorced,none,building-society,none,rent,skilled,yes,yes,bad
0dm,15=5+,critical,new-car,-_3913=5,less100dm,over-seven,single-male,none,car,none,own,unskilled-resident,yes,yes,bad
less-200dm,15=5+,critical,furniture,-_3913=5,less100dm,one-year,single-male,none,real-estate,none,own,unskilled-resident,yes,yes,bad
less-200dm,15=5+,duly-till-now,new-car,-_3913=5,less100dm,four-years,female-divorced,guarantor,none,bank,own,skilled,yes,yes,bad
less-200dm,15=5+,duly-till-now,radio-tv,-_3913=5,less100dm,one-year,married-male,none,building-society,none,own,skilled,no,yes,bad
0dm,-_15=5,duly-till-now,new-car,3913=5+,less100dm,over-seven,male-divorced,none,building-society,none,own,management,no,no,bad
0dm,-_15=5,bank-paid-duly,radio-tv,-_3913=5,less100dm,four-years,female-divorced,none,real-estate,bank,own,unskilled-resident,yes,yes,bad
over-200dm,15=5+,critical,new-car,-_3913=5,unknown,seven-years,single-male,none,real-estate,bank,own,unskilled-resident,yes,yes,bad
0dm,-_15=5,duly-till-now,furniture,-_3913=5,less100dm,four-years,female-divorced,none,car,none,rent,skilled,yes,yes,bad
0dm,-_15=5,duly-till-now,new-car,3913=5+,less100dm,four-years,female-divorced,none,building-society,none,own,skilled,no,yes,bad
less-200dm,15=5+,duly-till-now,radio-tv,3913=5+,less100dm,four-years,female-divorced,none,real-estate,none,own,skilled,yes,yes,bad
no-account,15=5+,critical,new-car,3913=5+,less100dm,four-years,female-divorced,none,real-estate,stores,own,skilled,no,yes,bad
over-200dm,-_15=5,duly-till-now,new-car,-_3913=5,less500dm,over-seven,female-divorced,none,none,none,free,unskilled-resident,yes,yes,bad
over-200dm,15=5+,delay,business,-_3913=5,less100dm,over-seven,single-male,none,real-estate,none,own,management,no,yes,bad
0dm,15=5+,duly-till-now,furniture,-_3913=5,less100dm,four-years,female-divorced,none,real-estate,bank,rent,skilled,yes,yes,bad
0dm,15=5+,bank-paid-duly,radio-tv,-_3913=5,less100dm,seven-years,single-male,guarantor,car,bank,rent,unskilled-resident,yes,yes,bad
0dm,15=5+,duly-till-now,used-car,3913=5+,less100dm,four-years,single-male,none,building-society,none,own,skilled,yes,yes,bad
no-account,15=5+,critical,new-car,3913=5+,less1000dm,four-years,single-male,none,none,bank,free,skilled,yes,yes,bad
less-200dm,-_15=5,duly-till-now,furniture,-_3913=5,less500dm,one-year,female-divorced,none,car,bank,rent,skilled,yes,yes,bad
less-200dm,-_15=5,duly-till-now,new-car,-_3913=5,less100dm,over-seven,male-divorced,none,real-estate,none,rent,skilled,yes,yes,bad
0dm,15=5+,duly-till-now,new-car,-_3913=5,unknown,four-years,female-divorced,none,building-society,none,own,skilled,yes,yes,bad
0dm,15=5+,duly-till-now,domestic-app,-_3913=5,less100dm,four-years,married-male,none,real-estate,none,own,unskilled-resident,no,yes,bad
over-200dm,15=5+,critical,education,-_3913=5,less100dm,one-year,male-divorced,none,car,none,rent,skilled,yes,yes,bad
0dm,-_15=5,duly-till-now,furniture,3913=5+,less100dm,over-seven,single-male,none,none,none,free,management,no,yes,bad
0dm,15=5+,duly-till-now,radio-tv,-_3913=5,less500dm,four-years,female-divorced,none,car,none,own,unskilled-resident,yes,yes,bad
less-200dm,-_15=5,delay,repairs,-_3913=5,over1000dm,four-years,married-male,none,building-society,stores,own,skilled,yes,yes,bad
no-account,-_15=5,duly-till-now,education,-_3913=5,less1000dm,over-seven,single-male,none,none,none,free,skilled,no,yes,good
less-200dm,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,over-seven,female-divorced,none,real-estate,none,own,skilled,yes,yes,good
no-account,-_15=5,critical,radio-tv,-_3913=5,unknown,over-seven,single-male,none,building-society,none,rent,unskilled-resident,no,yes,good
over-200dm,-_15=5,critical,new-car,-_3913=5,less1000dm,unemployed,single-male,none,none,bank,free,unemployed-non-resident,yes,yes,good
0dm,15=5+,critical,new-car,-_3913=5,less100dm,over-seven,married-male,none,car,none,own,skilled,no,yes,good
less-200dm,15=5+,all-paid-duly,furniture,-_3913=5,less100dm,four-years,female-divorced,none,car,bank,own,skilled,no,yes,good
over-200dm,15=5+,critical,used-car,3913=5+,less100dm,over-seven,single-male,none,none,none,free,skilled,yes,yes,good
less-200dm,15=5+,critical,used-car,3913=5+,less100dm,four-years,single-male,none,car,none,own,skilled,no,yes,good
no-account,15=5+,duly-till-now,used-car,3913=5+,less500dm,over-seven,single-male,none,car,none,own,management,no,yes,good
no-account,15=5+,all-paid-duly,repairs,-_3913=5,less100dm,four-years,single-male,none,car,none,own,skilled,yes,yes,good
no-account,-_15=5,critical,new-car,-_3913=5,less100dm,over-seven,single-male,none,real-estate,none,own,unskilled-resident,yes,yes,good
less-200dm,15=5+,bank-paid-duly,business,-_3913=5,less500dm,seven-years,single-male,none,car,none,own,skilled,yes,yes,good
0dm,15=5+,critical,furniture,-_3913=5,less100dm,one-year,female-divorced,none,building-society,none,rent,skilled,yes,yes,good
no-account,-_15=5,duly-till-now,furniture,-_3913=5,less100dm,seven-years,female-divorced,none,real-estate,none,own,unskilled-resident,yes,yes,good
no-account,15=5+,duly-till-now,furniture,3913=5+,less500dm,four-years,single-male,none,car,stores,own,skilled,yes,yes,good
no-account,-_15=5,delay,business,-_3913=5,less500dm,four-years,single-male,none,real-estate,none,own,unskilled-resident,yes,yes,good
no-account,-_15=5,duly-till-now,new-car,-_3913=5,less1000dm,over-seven,single-male,none,none,none,free,unskilled-resident,yes,yes,good
less-200dm,-_15=5,duly-till-now,radio-tv,-_3913=5,less100dm,four-years,single-male,guarantor,real-estate,none,own,skilled,yes,yes,good
no-account,-_15=5,duly-till-now,new-car,-_3913=5,unknown,over-seven,female-divorced,none,none,none,free,management,no,yes,good
no-account,15=5+,duly-till-now,new-car,3913=5+,less100dm,four-years,single-male,none,building-society,none,own,unskilled-resident,yes,yes,good
